account_id,customer_id,account_type,balance,opening_date,account_status,branch_id
ACC57663216,CUST000032,Savings,385300,2025-06-29,Active,BR077
ACC71204363,CUST000033,Current,54641,2026-04-26,Active,BR042
ACC52599819,CUST000033,Savings,247720,2026-04-26,Active,BR048
ACC52721647,CUST000034,Salary,687184,2023-10-08,Active,BR090
ACC23200273,CUST000035,Current,242413,2020-08-31,Inactive,BR107
ACC91021484,CUST000035,Savings,60213,2020-08-31,Active,BR090
ACC94854817,CUST000036,Current,486979,2019-05-08,Inactive,BR026
ACC57899044,CUST000036,Savings,869226,2019-05-08,Active,BR055
ACC33201654,CUST000037,Current,963578,2024-08-14,Inactive,BR148
ACC75252431,CUST000037,Savings,487905,2024-08-14,Inactive,BR141
ACC13865920,CUST000038,Current,499577,2018-01-22,Active,BR024
ACC24363724,CUST000039,Savings,724584,2019-05-16,Active,BR099
ACC76037697,CUST000039,Savings,331606,2019-05-16,Active,BR017
ACC86570402,CUST000040,Salary,904641,2026-01-18,Active,BR006
ACC47001451,CUST000040,Salary,884374,2026-01-18,Inactive,BR149
ACC36723485,CUST000041,Savings,45389,2026-02-08,Inactive,BR116
ACC64721183,CUST000042,Salary,736457,2017-06-15,Active,BR127
ACC27071753,CUST000042,Current,490590,2017-06-15,Inactive,BR024
ACC68390623,CUST000043,Current,719392,2024-06-16,Inactive,BR101
ACC62468023,CUST000044,Savings,804492,2021-07-29,Inactive,BR020
ACC78155263,CUST000045,Savings,731246,2019-10-25,Inactive,BR026
ACC34005678,CUST000046,Salary,670071,2024-02-01,Inactive,BR119
ACC65175749,CUST000047,Salary,243300,2018-07-17,Inactive,BR040
ACC20351764,CUST000048,Salary,858989,2018-02-11,Inactive,BR126
ACC78152447,CUST000049,Savings,810363,2022-04-22,Active,BR129
ACC86180459,CUST000050,Current,546009,2022-04-28,Active,BR148
ACC49250005,CUST000051,Savings,574593,2019-03-08,Active,BR102
ACC48376211,CUST000051,Current,434065,2019-03-08,Inactive,BR018
ACC46780929,CUST000052,Salary,776497,2025-12-31,Active,BR052
ACC96893530,CUST000052,Savings,329274,2025-12-31,Active,BR034
ACC48169325,CUST000053,Salary,453231,2019-05-20,Active,BR025
ACC70389195,CUST000054,Salary,496137,2025-01-06,Inactive,BR001
ACC56165709,CUST000054,Salary,447290,2025-01-06,Inactive,BR017
ACC85768225,CUST000055,Salary,628731,2022-05-03,Inactive,BR112
ACC71327716,CUST000055,Savings,769892,2022-05-03,Active,BR089
ACC81411522,CUST000056,Savings,750446,2025-03-22,Active,BR112
ACC88696050,CUST000056,Current,687751,2025-03-22,Active,BR061
ACC34364154,CUST000057,Savings,6955,2024-10-12,Inactive,BR148
ACC55802175,CUST000058,Savings,625824,2020-11-08,Inactive,BR045
ACC20965621,CUST000058,Savings,785993,2020-11-08,Inactive,BR080
ACC43106240,CUST000059,Savings,61503,2021-01-20,Inactive,BR002
ACC10007612,CUST000060,Savings,843800,2022-02-24,Inactive,BR040
ACC81981760,CUST000060,Current,238183,2022-02-24,Active,BR008
ACC97308300,CUST000061,Current,822238,2021-01-12,Inactive,BR077
ACC87965484,CUST000061,Current,266827,2021-01-12,Active,BR044
ACC91859522,CUST000062,Salary,777731,2025-06-01,Active,BR120
ACC69534877,CUST000063,Salary,351449,2023-12-16,Inactive,BR010
ACC79639729,CUST000063,Savings,382443,2023-12-16,Active,BR062
ACC19897514,CUST000064,Salary,150702,2021-05-20,Inactive,BR020
ACC29107652,CUST000064,Savings,961237,2021-05-20,Active,BR111
ACC32666516,CUST000065,Salary,368377,2022-03-28,Inactive,BR083
ACC81989796,CUST000066,Savings,587460,2018-07-19,Inactive,BR002
ACC39075814,CUST000066,Savings,662055,2018-07-19,Active,BR150
ACC74457665,CUST000067,Current,887556,2019-12-13,Active,BR062
ACC32563835,CUST000067,Current,662518,2019-12-13,Inactive,BR055
ACC49847092,CUST000068,Current,688712,2019-07-05,Inactive,BR052
ACC43306506,CUST000069,Savings,330251,2026-02-14,Active,BR095
ACC91310472,CUST000069,Salary,931070,2026-02-14,Active,BR131
ACC26750260,CUST000070,Current,271374,2019-04-13,Inactive,BR123
ACC71859674,CUST000071,Savings,971954,2018-09-27,Inactive,BR083
ACC73366153,CUST000071,Savings,329909,2018-09-27,Inactive,BR116
ACC55376562,CUST000072,Savings,566589,2016-09-07,Active,BR127
ACC37403152,CUST000073,Current,255331,2025-06-19,Active,BR122
ACC93898633,CUST000074,Current,313045,2016-10-12,Inactive,BR015
ACC74416782,CUST000074,Current,418617,2016-10-12,Inactive,BR029
ACC38604909,CUST000075,Savings,226491,2022-10-09,Inactive,BR010
ACC71527922,CUST000076,Current,57661,2016-08-22,Inactive,BR032
ACC61852023,CUST000076,Current,80672,2016-08-22,Active,BR070
ACC91979862,CUST000077,Salary,688167,2026-05-18,Inactive,BR136
ACC74907721,CUST000077,Current,840516,2026-05-18,Active,BR126
ACC21863369,CUST000078,Current,587913,2021-03-10,Active,BR133
ACC62244876,CUST000079,Current,524914,2017-05-16,Active,BR005
ACC27364498,CUST000079,Current,52089,2017-05-16,Active,BR120
ACC13108905,CUST000080,Salary,58506,2018-09-14,Inactive,BR037
ACC88192400,CUST000080,Current,190509,2018-09-14,Inactive,BR125
ACC23404301,CUST000081,Salary,955115,2020-04-16,Inactive,BR067
ACC74522675,CUST000082,Current,752171,2023-02-05,Inactive,BR109
ACC81373545,CUST000083,Salary,991386,2017-07-13,Active,BR043
ACC94286506,CUST000083,Savings,157549,2017-07-13,Inactive,BR062
ACC97632464,CUST000084,Savings,979520,2019-06-21,Active,BR058
ACC47382944,CUST000084,Savings,728296,2019-06-21,Inactive,BR055
ACC42108113,CUST000085,Savings,844928,2023-03-04,Active,BR038
ACC69695541,CUST000086,Salary,790967,2021-11-25,Inactive,BR060
ACC10344548,CUST000087,Savings,923160,2017-06-12,Active,BR063
ACC88030992,CUST000088,Salary,981992,2026-01-25,Inactive,BR102
ACC67128892,CUST000088,Salary,40802,2026-01-25,Inactive,BR037
ACC64520692,CUST000089,Salary,784175,2023-07-30,Active,BR093
ACC39725217,CUST000089,Salary,100625,2023-07-30,Inactive,BR009
ACC10963831,CUST000090,Salary,837020,2016-09-30,Active,BR108
ACC38460271,CUST000090,Savings,89772,2016-09-30,Inactive,BR119
ACC78107614,CUST000091,Salary,346300,2018-07-24,Inactive,BR056
ACC75428319,CUST000091,Current,312464,2018-07-24,Inactive,BR102
ACC48353960,CUST000092,Savings,435544,2023-12-22,Active,BR136
ACC97434569,CUST000093,Savings,441436,2019-10-21,Active,BR129
ACC28496585,CUST000094,Savings,858677,2017-03-01,Inactive,BR087
ACC34738757,CUST000094,Current,941621,2017-03-01,Active,BR114
ACC44613857,CUST000095,Salary,419402,2022-07-24,Inactive,BR132
ACC37114117,CUST000095,Current,154856,2022-07-24,Inactive,BR077
ACC24755243,CUST000096,Salary,298292,2023-11-30,Active,BR053
ACC94441705,CUST000096,Current,664274,2023-11-30,Inactive,BR069
ACC61076733,CUST000097,Current,57472,2018-10-23,Active,BR034
ACC10950610,CUST000097,Savings,518602,2018-10-23,Inactive,BR047
ACC88168785,CUST000098,Savings,885980,2023-10-05,Active,BR046
ACC80819921,CUST000099,Savings,444328,2022-03-27,Inactive,BR081
ACC58993375,CUST000099,Salary,697102,2022-03-27,Inactive,BR094
ACC84296765,CUST000100,Savings,627596,2026-01-28,Active,BR098
ACC32145508,CUST000100,Salary,719477,2026-01-28,Active,BR121
ACC47236054,CUST000101,Savings,887626,2023-12-29,Inactive,BR097
ACC14718453,CUST000102,Current,259059,2023-05-27,Inactive,BR042
ACC87477237,CUST000103,Current,27500,2020-06-17,Active,BR111
ACC24380181,CUST000104,Salary,633650,2024-03-30,Active,BR007
ACC18795491,CUST000105,Current,194316,2019-03-14,Active,BR070
ACC60527971,CUST000106,Savings,334351,2023-01-02,Active,BR035
ACC21583675,CUST000106,Current,321684,2023-01-02,Active,BR031
ACC60771400,CUST000107,Current,22923,2022-07-22,Inactive,BR106
ACC36006092,CUST000107,Savings,402541,2022-07-22,Inactive,BR066
ACC42801583,CUST000108,Savings,973226,2023-03-10,Active,BR026
ACC90351407,CUST000108,Salary,993302,2023-03-10,Inactive,BR081
ACC90800111,CUST000109,Current,17026,2018-03-11,Active,BR135
ACC50844763,CUST000109,Current,360148,2018-03-11,Inactive,BR015
ACC21354048,CUST000110,Salary,379726,2018-04-07,Active,BR108
ACC25712079,CUST000111,Salary,30566,2022-03-20,Active,BR034
ACC79621418,CUST000111,Current,609879,2022-03-20,Active,BR110
ACC16428248,CUST000112,Savings,260447,2017-05-21,Active,BR086
ACC49370484,CUST000112,Salary,567054,2017-05-21,Inactive,BR114
ACC71846795,CUST000113,Current,305549,2020-06-23,Inactive,BR071
ACC54856574,CUST000114,Current,536075,2019-12-02,Inactive,BR129
ACC73826719,CUST000115,Salary,788155,2025-05-07,Active,BR007
ACC29169765,CUST000116,Savings,367627,2017-09-24,Inactive,BR089
ACC44686859,CUST000116,Savings,938826,2017-09-24,Inactive,BR029
ACC21396600,CUST000117,Savings,812244,2022-03-13,Inactive,BR098
ACC82741169,CUST000117,Current,196596,2022-03-13,Active,BR015
ACC60516501,CUST000118,Current,707453,2023-09-27,Active,BR052
ACC32341109,CUST000119,Savings,848187,2018-06-25,Inactive,BR079
ACC56899101,CUST000119,Savings,430609,2018-06-25,Inactive,BR092
ACC36527259,CUST000120,Salary,118645,2022-10-15,Active,BR029
ACC82561481,CUST000120,Savings,107132,2022-10-15,Inactive,BR013
ACC99244596,CUST000121,Salary,157694,2019-07-22,Inactive,BR048
ACC60418491,CUST000121,Current,573971,2019-07-22,Inactive,BR039
ACC44302925,CUST000122,Current,788092,2023-04-17,Active,BR050
ACC33408725,CUST000123,Savings,713214,2021-08-10,Inactive,BR031
ACC44689896,CUST000123,Salary,216213,2021-08-10,Active,BR118
ACC65049790,CUST000124,Salary,884744,2021-06-22,Active,BR035
ACC55162244,CUST000124,Savings,607605,2021-06-22,Active,BR119
ACC13022882,CUST000125,Current,238982,2019-06-23,Active,BR041
ACC45792841,CUST000126,Savings,484887,2023-08-19,Inactive,BR022
ACC49416471,CUST000127,Salary,70550,2022-11-26,Active,BR100
ACC52617208,CUST000127,Savings,800714,2022-11-26,Active,BR087
ACC99877304,CUST000128,Current,249934,2018-02-03,Inactive,BR116
ACC72553274,CUST000129,Current,526767,2016-12-31,Active,BR113
ACC67329407,CUST000129,Current,841114,2016-12-31,Inactive,BR027
ACC39286832,CUST000130,Current,613577,2024-03-17,Inactive,BR121
ACC32557911,CUST000130,Savings,929444,2024-03-17,Inactive,BR092
ACC60958887,CUST000131,Current,933133,2024-07-10,Active,BR055
ACC96042627,CUST000131,Current,776855,2024-07-10,Active,BR117
ACC35209335,CUST000132,Savings,647461,2026-05-29,Active,BR108
ACC23789783,CUST000133,Current,781615,2017-02-21,Inactive,BR061
ACC12092432,CUST000134,Salary,671172,2024-07-16,Active,BR110
ACC30251120,CUST000135,Current,733132,2025-04-05,Inactive,BR036
ACC94509982,CUST000136,Current,336094,2022-06-04,Inactive,BR127
ACC16761249,CUST000137,Current,676618,2017-05-19,Active,BR109
ACC34177936,CUST000137,Current,429863,2017-05-19,Active,BR037
ACC52532798,CUST000138,Savings,975155,2020-03-17,Active,BR145
ACC60395770,CUST000139,Savings,533699,2018-02-23,Active,BR060
ACC90489690,CUST000139,Current,24257,2018-02-23,Inactive,BR069
ACC51485161,CUST000140,Savings,534141,2023-05-11,Inactive,BR060
ACC90094310,CUST000141,Current,246007,2019-02-02,Active,BR107
ACC74405828,CUST000142,Salary,963020,2021-09-20,Active,BR150
ACC58582392,CUST000143,Salary,840156,2018-11-10,Inactive,BR058
ACC96726281,CUST000144,Salary,190001,2017-05-20,Inactive,BR059
ACC37730890,CUST000144,Salary,688714,2017-05-20,Active,BR085
ACC79672341,CUST000145,Salary,734011,2025-03-21,Inactive,BR129
ACC37790662,CUST000145,Current,888656,2025-03-21,Inactive,BR113
ACC49605756,CUST000146,Savings,590980,2020-03-19,Active,BR065
ACC30143896,CUST000146,Current,103048,2020-03-19,Inactive,BR107
ACC78367700,CUST000147,Savings,703343,2024-10-23,Active,BR100
ACC27648537,CUST000148,Current,585962,2026-04-03,Active,BR030
ACC86633273,CUST000149,Current,966065,2022-08-04,Active,BR017
ACC63050481,CUST000150,Salary,457836,2019-10-07,Active,BR130
ACC99193868,CUST000151,Salary,600821,2021-08-25,Active,BR123
ACC15547570,CUST000151,Savings,454595,2021-08-25,Inactive,BR140
ACC96069402,CUST000152,Savings,794559,2019-11-20,Active,BR093
ACC96272745,CUST000153,Savings,642001,2025-09-20,Inactive,BR099
ACC44114736,CUST000154,Current,162173,2024-01-12,Inactive,BR034
ACC57302988,CUST000154,Salary,724412,2024-01-12,Active,BR069
ACC83503385,CUST000155,Salary,938252,2021-06-02,Inactive,BR107
ACC58234669,CUST000155,Savings,530536,2021-06-02,Active,BR066
ACC22628642,CUST000156,Salary,875636,2019-02-24,Inactive,BR022
ACC19824289,CUST000157,Salary,692127,2022-09-16,Inactive,BR064
ACC23391390,CUST000158,Current,273858,2024-08-19,Active,BR123
ACC32842153,CUST000159,Salary,302122,2026-05-26,Active,BR119
ACC51809821,CUST000160,Salary,91647,2020-08-21,Active,BR017
ACC57506796,CUST000160,Current,4690,2020-08-21,Inactive,BR013
ACC96464004,CUST000161,Current,138167,2017-04-30,Active,BR024
ACC83759000,CUST000161,Salary,20301,2017-04-30,Active,BR111
ACC89461286,CUST000162,Savings,843610,2022-11-18,Active,BR140
ACC23241347,CUST000163,Savings,985605,2026-07-29,Inactive,BR062
ACC83226288,CUST000163,Current,767629,2026-07-29,Active,BR039
ACC97370776,CUST000164,Current,265526,2022-08-30,Active,BR079
ACC65668584,CUST000164,Savings,232199,2022-08-30,Active,BR148
ACC52093490,CUST000165,Current,403546,2020-12-03,Inactive,BR136
ACC20289577,CUST000166,Current,982844,2024-06-27,Inactive,BR110
ACC39259458,CUST000166,Savings,131160,2024-06-27,Active,BR147
ACC32327839,CUST000167,Current,493615,2020-04-06,Inactive,BR071
ACC66029024,CUST000168,Current,461519,2020-05-28,Inactive,BR107
ACC84794295,CUST000168,Current,480594,2020-05-28,Inactive,BR041
ACC81424253,CUST000169,Savings,246171,2025-01-05,Inactive,BR059
ACC65630878,CUST000169,Current,603183,2025-01-05,Active,BR007
ACC83667027,CUST000170,Current,835973,2024-12-24,Inactive,BR127
ACC95345492,CUST000171,Savings,261971,2025-12-12,Inactive,BR038
ACC23129891,CUST000172,Savings,816911,2025-03-07,Active,BR085
ACC64884189,CUST000173,Savings,391518,2024-10-18,Inactive,BR110
ACC55621134,CUST000173,Current,476557,2024-10-18,Active,BR030
ACC84061533,CUST000174,Salary,293314,2018-01-10,Inactive,BR126
ACC91898411,CUST000175,Current,679319,2016-11-08,Active,BR029
ACC74448307,CUST000176,Current,122081,2020-12-22,Inactive,BR130
ACC95207875,CUST000177,Savings,370400,2021-09-04,Active,BR028
ACC63667464,CUST000177,Salary,807522,2021-09-04,Active,BR150
ACC70645560,CUST000178,Salary,170987,2020-02-06,Active,BR142
ACC49375790,CUST000178,Savings,682119,2020-02-06,Inactive,BR145
ACC52192515,CUST000179,Current,709339,2023-01-23,Active,BR078
ACC34845537,CUST000180,Salary,880213,2017-09-11,Inactive,BR009
ACC85846942,CUST000180,Current,247377,2017-09-11,Inactive,BR059
ACC40099002,CUST000181,Salary,852261,2024-05-12,Active,BR147
ACC21777847,CUST000182,Current,94472,2022-02-01,Inactive,BR076
ACC37176445,CUST000183,Salary,379243,2022-12-04,Inactive,BR129
ACC65659761,CUST000183,Savings,480186,2022-12-04,Active,BR011
ACC30676913,CUST000184,Savings,73545,2024-10-03,Inactive,BR126
ACC67059766,CUST000184,Salary,30257,2024-10-03,Inactive,BR084
ACC64357899,CUST000185,Salary,114517,2019-01-27,Active,BR101
ACC64326932,CUST000186,Salary,806897,2017-10-20,Inactive,BR120
ACC57949502,CUST000187,Salary,892860,2020-09-21,Inactive,BR079
ACC66187818,CUST000188,Savings,766561,2022-02-15,Active,BR099
ACC86962772,CUST000189,Salary,263022,2022-01-20,Inactive,BR079
ACC31030076,CUST000190,Current,286810,2026-06-02,Inactive,BR064
ACC47339328,CUST000191,Savings,289580,2020-03-12,Inactive,BR141
ACC90300629,CUST000191,Savings,470014,2020-03-12,Inactive,BR048
ACC49756455,CUST000192,Savings,296253,2020-08-15,Active,BR127
ACC54844059,CUST000192,Current,510523,2020-08-15,Active,BR080
ACC64226812,CUST000193,Current,19655,2021-09-25,Active,BR113
ACC45225817,CUST000194,Savings,435161,2018-02-23,Active,BR125
ACC59628464,CUST000195,Savings,804918,2023-05-19,Inactive,BR036
ACC10542671,CUST000195,Savings,644327,2023-05-19,Active,BR094
ACC24020578,CUST000196,Current,81827,2017-04-25,Inactive,BR031
ACC45289901,CUST000196,Salary,873867,2017-04-25,Inactive,BR145
ACC39365921,CUST000197,Current,742179,2018-09-22,Active,BR040
ACC62236340,CUST000198,Savings,330111,2016-09-05,Inactive,BR130
ACC49944714,CUST000199,Salary,338014,2022-11-13,Active,BR081
ACC81872635,CUST000199,Savings,440232,2022-11-13,Active,BR140
ACC83831826,CUST000200,Savings,789819,2016-11-03,Active,BR102
ACC43922315,CUST000200,Salary,444093,2016-11-03,Active,BR014
ACC45753531,CUST000201,Savings,67532,2024-09-30,Inactive,BR001
ACC19378204,CUST000201,Salary,186053,2024-09-30,Active,BR136
ACC81859694,CUST000202,Current,361763,2025-10-07,Inactive,BR099
ACC20015613,CUST000203,Savings,144959,2020-04-04,Inactive,BR119
ACC59185519,CUST000203,Savings,655869,2020-04-04,Active,BR108
ACC75395766,CUST000204,Current,150534,2024-05-16,Inactive,BR079
ACC82854011,CUST000204,Savings,654440,2024-05-16,Active,BR136
ACC26985117,CUST000205,Savings,463940,2019-02-05,Active,BR041
ACC39806217,CUST000206,Savings,383765,2025-11-02,Active,BR047
ACC45756290,CUST000206,Salary,39301,2025-11-02,Inactive,BR108
ACC16529121,CUST000207,Current,691413,2020-03-14,Active,BR070
ACC88294248,CUST000208,Savings,121199,2023-02-10,Inactive,BR111
ACC33222432,CUST000209,Salary,702547,2025-12-19,Active,BR085
ACC53483608,CUST000210,Savings,549295,2016-12-14,Inactive,BR133
ACC91604393,CUST000210,Current,277573,2016-12-14,Inactive,BR093
ACC25059543,CUST000211,Savings,778610,2026-04-14,Active,BR096
ACC48310530,CUST000211,Savings,649138,2026-04-14,Inactive,BR124
ACC85487753,CUST000212,Salary,95081,2019-09-17,Inactive,BR063
ACC99881649,CUST000213,Current,559936,2024-10-31,Inactive,BR037
ACC94005968,CUST000213,Current,66498,2024-10-31,Active,BR089
ACC74549680,CUST000214,Salary,34731,2021-01-30,Inactive,BR063
ACC22941247,CUST000215,Current,51530,2021-01-22,Inactive,BR136
ACC59392698,CUST000216,Salary,568676,2021-08-22,Inactive,BR043
ACC80222554,CUST000216,Savings,881300,2021-08-22,Inactive,BR094
ACC54686912,CUST000217,Salary,205782,2018-08-18,Active,BR144
ACC65986735,CUST000217,Current,260404,2018-08-18,Inactive,BR108
ACC22491085,CUST000218,Savings,804508,2021-06-07,Active,BR053
ACC37151499,CUST000219,Current,320539,2017-08-22,Active,BR085
ACC95079381,CUST000219,Savings,643545,2017-08-22,Active,BR086
ACC72672256,CUST000220,Savings,602676,2022-10-19,Inactive,BR082
ACC44419222,CUST000220,Savings,355920,2022-10-19,Active,BR006
ACC17741744,CUST000221,Savings,253085,2018-06-30,Inactive,BR092
ACC15744761,CUST000221,Savings,111237,2018-06-30,Inactive,BR043
ACC30899158,CUST000222,Salary,949597,2021-01-22,Active,BR001
ACC88648258,CUST000222,Savings,530546,2021-01-22,Active,BR042
ACC30298902,CUST000223,Salary,150514,2019-06-29,Inactive,BR089
ACC77785214,CUST000223,Savings,769106,2019-06-29,Active,BR079
ACC17405692,CUST000224,Salary,229774,2021-06-24,Active,BR096
ACC67678280,CUST000225,Salary,523468,2021-11-02,Inactive,BR123
ACC35968103,CUST000226,Salary,335755,2022-08-30,Inactive,BR077
ACC18248061,CUST000226,Savings,604805,2022-08-30,Inactive,BR061
ACC69417891,CUST000227,Savings,623710,2018-11-16,Active,BR007
ACC91376308,CUST000227,Current,112868,2018-11-16,Inactive,BR116
ACC70537530,CUST000228,Salary,634557,2023-09-24,Inactive,BR120
ACC46114187,CUST000228,Savings,323386,2023-09-24,Active,BR132
ACC23969063,CUST000229,Salary,176531,2019-05-17,Active,BR096
ACC46760626,CUST000229,Savings,625305,2019-05-17,Inactive,BR059
ACC46246514,CUST000230,Salary,30875,2019-03-24,Inactive,BR033
ACC89162294,CUST000231,Savings,794405,2019-07-13,Active,BR041
ACC33274527,CUST000232,Salary,749735,2019-02-26,Inactive,BR101
ACC81728673,CUST000232,Salary,298375,2019-02-26,Active,BR059
ACC62597891,CUST000233,Savings,432468,2024-09-20,Active,BR079
ACC47858136,CUST000234,Current,206640,2019-03-03,Active,BR105
ACC22864952,CUST000235,Salary,172451,2022-05-05,Active,BR032
ACC38441017,CUST000236,Current,685071,2025-06-12,Inactive,BR097
ACC86884077,CUST000236,Salary,298834,2025-06-12,Inactive,BR094
ACC46608605,CUST000237,Savings,871525,2021-06-03,Active,BR026
ACC84698091,CUST000238,Current,717407,2023-12-19,Inactive,BR040
ACC98623004,CUST000238,Salary,318416,2023-12-19,Active,BR065
ACC66153846,CUST000239,Salary,628470,2018-04-21,Active,BR008
ACC52203498,CUST000240,Salary,560352,2024-02-29,Inactive,BR032
ACC86354134,CUST000241,Current,22898,2025-09-29,Inactive,BR055
ACC52955093,CUST000242,Salary,490976,2019-02-07,Active,BR146
ACC91101226,CUST000242,Savings,247289,2019-02-07,Active,BR115
ACC77784488,CUST000243,Savings,423603,2023-03-04,Active,BR127
ACC41401023,CUST000244,Savings,374955,2024-08-11,Inactive,BR076
ACC91604740,CUST000244,Savings,229860,2024-08-11,Active,BR038
ACC16807966,CUST000245,Savings,181421,2020-12-21,Active,BR025
ACC89656191,CUST000245,Savings,199663,2020-12-21,Active,BR015
ACC10870649,CUST000246,Savings,583929,2023-10-28,Active,BR081
ACC92469682,CUST000247,Current,284725,2021-03-14,Active,BR029
ACC68257027,CUST000248,Savings,247018,2019-05-08,Active,BR017
ACC91755752,CUST000248,Salary,177023,2019-05-08,Inactive,BR115
ACC58148618,CUST000249,Salary,296783,2017-08-21,Active,BR094
ACC27272718,CUST000249,Salary,237415,2017-08-21,Active,BR054
ACC81983907,CUST000250,Salary,831547,2023-08-03,Active,BR142
ACC82541689,CUST000250,Savings,728596,2023-08-03,Inactive,BR096
ACC63500712,CUST000251,Savings,251912,2018-11-30,Active,BR035
ACC19295664,CUST000252,Salary,340984,2018-05-24,Active,BR146
ACC54184754,CUST000252,Savings,762035,2018-05-24,Inactive,BR075
ACC43717565,CUST000253,Savings,352884,2020-12-27,Active,BR035
ACC87757317,CUST000254,Salary,13881,2020-12-14,Inactive,BR055
ACC61207786,CUST000255,Salary,317021,2020-08-07,Active,BR028
ACC13360018,CUST000256,Savings,879239,2025-09-07,Inactive,BR103
ACC87424877,CUST000257,Salary,41799,2017-01-09,Inactive,BR121
ACC35367956,CUST000258,Savings,798609,2021-11-01,Inactive,BR116
ACC47736011,CUST000258,Savings,656275,2021-11-01,Inactive,BR099
ACC80315943,CUST000259,Savings,727580,2025-11-04,Active,BR034
ACC15794983,CUST000260,Savings,708485,2017-09-05,Active,BR139
ACC49339605,CUST000260,Current,376267,2017-09-05,Inactive,BR022
ACC52937537,CUST000261,Salary,509581,2019-05-22,Active,BR108
ACC36550786,CUST000261,Savings,929447,2019-05-22,Active,BR120
ACC18301797,CUST000262,Current,804344,2022-01-26,Active,BR065
ACC70358333,CUST000263,Current,271780,2023-04-28,Active,BR032
ACC43282442,CUST000264,Savings,410359,2020-01-22,Active,BR102
ACC55303992,CUST000264,Savings,241571,2020-01-22,Active,BR061
ACC40942947,CUST000265,Savings,931771,2025-10-24,Active,BR072
ACC28312559,CUST000265,Current,894439,2025-10-24,Active,BR078
ACC46127672,CUST000266,Current,188860,2024-02-17,Inactive,BR150
ACC34240607,CUST000266,Salary,367519,2024-02-17,Active,BR092
ACC50501450,CUST000267,Salary,685922,2024-10-04,Active,BR098
ACC39696371,CUST000267,Current,442029,2024-10-04,Inactive,BR123
ACC80438852,CUST000268,Current,694083,2023-11-05,Inactive,BR071
ACC13009797,CUST000268,Salary,896590,2023-11-05,Inactive,BR092
